"codigo";"lapso";"cod_mat";"cod_comp"
"30613";"2014-1";"T3CB01";"3807"
"30613";"2014-1";"T3EB01";"3809"
"30613";"2014-1";"T3GB01";"3811"
"30613";"2014-1";"T3HB01";"3814"
"30613";"2014-1";"T3IB01";"3935"
"30613";"2014-1";"T3DB01";"3937"
"30679";"2014-1";"T3CB11";"3807"
"30679";"2014-1";"T3EB11";"3809"
"30679";"2014-1";"T3HB11";"3814"
"30679";"2014-1";"T3IB11";"3935"
"30679";"2014-1";"T3DB11";"3937"
"30689";"2014-1";"T3CB11";"3807"
"30689";"2014-1";"T3EB11";"3809"
"30689";"2014-1";"T3GB01";"3811"
"30689";"2014-1";"T3HB11";"3814"
"30689";"2014-1";"T3IB11";"3935"
"30689";"2014-1";"T3DB11";"3937"
"30695";"2014-1";"T3CB11";"3807"
"30695";"2014-1";"T3EB11";"3809"
"30695";"2014-1";"T3HB11";"3814"
"30695";"2014-1";"T3IB11";"3935"
"30695";"2014-1";"T3DB11";"3937"
"30711";"2014-1";"T3CB11";"3807"
"30711";"2014-1";"T3EB11";"3809"
"30711";"2014-1";"T3HB11";"3814"
"30711";"2014-1";"T3IB11";"3935"
"30711";"2014-1";"T3DB11";"3937"
"30729";"2014-1";"T2DB20";"3803"
"30729";"2014-1";"T3AB01";"3805"
"30729";"2014-1";"T3BB01";"3806"
"30729";"2014-1";"T3CB01";"3807"
"30729";"2014-1";"T3EB01";"3809"
"30729";"2014-1";"T3GB01";"3811"
"30729";"2014-1";"T3HB01";"3814"
"30729";"2014-1";"T3IB01";"3935"
"30729";"2014-1";"T3DB01";"3937"
"30740";"2014-1";"T3CB11";"3807"
"30740";"2014-1";"T3EB11";"3809"
"30740";"2014-1";"T3HB11";"3814"
"30740";"2014-1";"T3IB11";"3935"
"30740";"2014-1";"T3DB11";"3937"
"30742";"2014-1";"T2EB03";"3804"
"30747";"2014-1";"T2EB01";"3804"
"30767";"2014-1";"T3CB11";"3807"
"30767";"2014-1";"T3EB11";"3809"
"30767";"2014-1";"T3GB01";"3811"
"30767";"2014-1";"T3HB11";"3814"
"30767";"2014-1";"T3IB11";"3935"
"30767";"2014-1";"T3DB11";"3937"
"30794";"2014-1";"T2AB01";"3800"
"30794";"2014-1";"T2BB01";"3801"
"30794";"2014-1";"T2CB01";"3802"
"30794";"2014-1";"T2DB01";"3803"
"30794";"2014-1";"T2EB01";"3804"
"30794";"2014-1";"T2GB01";"3813"
"30838";"2014-1";"T3CB11";"3807"
"30838";"2014-1";"T3EB11";"3809"
"30838";"2014-1";"T3HB11";"3814"
"30838";"2014-1";"T3IB11";"3935"
"30838";"2014-1";"T3DB11";"3937"
"31353";"2014-1";"T2AB01";"3800"
"31353";"2014-1";"T2BB01";"3801"
"31353";"2014-1";"T2CB01";"3802"
"31353";"2014-1";"T2DB01";"3803"
"31353";"2014-1";"T2EB01";"3804"
"31353";"2014-1";"T2GB01";"3813"
"31382";"2014-1";"T2AB01";"3800"
"31382";"2014-1";"T2BB01";"3801"
"31382";"2014-1";"T2CB01";"3802"
"31382";"2014-1";"T2DB01";"3803"
"31382";"2014-1";"T2EB01";"3804"
"31382";"2014-1";"T2GB01";"3813"
"31392";"2014-1";"T2AB05";"3800"
"31392";"2014-1";"T2BB05";"3801"
"31392";"2014-1";"T2CB05";"3802"
