"codigo";"lapso";"cod_mat";"cod_comp"
"34194";"2014-1";"I2AB01";"6049"
"34194";"2014-1";"I2BB01";"6050"
"34194";"2014-1";"I2DB01";"6052"
"34194";"2014-1";"I2EB01";"6053"
"34194";"2014-1";"I2FB01";"6054"
"34194";"2014-1";"I2GB01";"6055"
"34194";"2014-1";"I2HB01";"6056"
"34195";"2014-1";"I2AB01";"6049"
"34195";"2014-1";"I2BB01";"6050"
"34195";"2014-1";"I2DB01";"6052"
"34195";"2014-1";"I2EB01";"6053"
"34195";"2014-1";"I2FB01";"6054"
"34195";"2014-1";"I2GB01";"6055"
"34195";"2014-1";"I2HB01";"6056"
"34196";"2014-1";"I2AB01";"6049"
"34196";"2014-1";"I2BB01";"6050"
"34196";"2014-1";"I2DB01";"6052"
"34196";"2014-1";"I2EB01";"6053"
"34196";"2014-1";"I2FB01";"6054"
"34196";"2014-1";"I2GB01";"6055"
"34196";"2014-1";"I2HB01";"6056"
"34197";"2014-1";"I2AB01";"6049"
"34197";"2014-1";"I2BB01";"6050"
"34197";"2014-1";"I2DB01";"6052"
"34197";"2014-1";"I2EB01";"6053"
"34197";"2014-1";"I2FB01";"6054"
"34197";"2014-1";"I2GB01";"6055"
"34197";"2014-1";"I2HB01";"6056"
"34198";"2014-1";"I2AB01";"6049"
"34198";"2014-1";"I2BB01";"6050"
"34198";"2014-1";"I2DB01";"6052"
"34198";"2014-1";"I2EB01";"6053"
"34198";"2014-1";"I2FB01";"6054"
"34198";"2014-1";"I2GB01";"6055"
"34198";"2014-1";"I2HB01";"6056"
"34199";"2014-1";"I2AB01";"6049"
"34199";"2014-1";"I2BB01";"6050"
"34199";"2014-1";"I2DB01";"6052"
"34199";"2014-1";"I2EB01";"6053"
"34199";"2014-1";"I2FB01";"6054"
"34199";"2014-1";"I2GB01";"6055"
"34199";"2014-1";"I2HB01";"6056"
"34200";"2014-1";"I2AB01";"6049"
"34200";"2014-1";"I2BB01";"6050"
"34200";"2014-1";"I2DB01";"6052"
"34200";"2014-1";"I2EB01";"6053"
"34200";"2014-1";"I2FB01";"6054"
"34200";"2014-1";"I2GB01";"6055"
"34200";"2014-1";"I2HB01";"6056"
"34201";"2014-1";"I2AB01";"6049"
"34201";"2014-1";"I2BB01";"6050"
"34201";"2014-1";"I2DB01";"6052"
"34201";"2014-1";"I2EB01";"6053"
"34201";"2014-1";"I2FB01";"6054"
"34201";"2014-1";"I2GB01";"6055"
"34201";"2014-1";"I2HB01";"6056"
"34203";"2014-1";"I2AB01";"6049"
"34203";"2014-1";"I2BB01";"6050"
"34203";"2014-1";"I2DB01";"6052"
"34203";"2014-1";"I2EB01";"6053"
"34203";"2014-1";"I2FB01";"6054"
"34203";"2014-1";"I2GB01";"6055"
"34203";"2014-1";"I2HB01";"6056"
"34204";"2014-1";"I2AB01";"6049"
"34204";"2014-1";"I2BB01";"6050"
"34204";"2014-1";"I2DB01";"6052"
"34204";"2014-1";"I2EB01";"6053"
"34204";"2014-1";"I2FB01";"6054"
"34204";"2014-1";"I2GB01";"6055"
"34204";"2014-1";"I2HB01";"6056"
"43980";"2014-1";"I2AB01";"6049"
"43980";"2014-1";"I2BB01";"6050"
"43980";"2014-1";"I2DB01";"6052"
"43980";"2014-1";"I2EB01";"6053"
"43980";"2014-1";"I2FB01";"6054"
"43980";"2014-1";"I2GB01";"6055"
"43980";"2014-1";"I2HB01";"6056"
"43981";"2014-1";"I2AB01";"6049"
"43981";"2014-1";"I2BB01";"6050"
"43981";"2014-1";"I2DB01";"6052"
"43981";"2014-1";"I2EB01";"6053"
"43981";"2014-1";"I2FB01";"6054"
"43981";"2014-1";"I2GB01";"6055"
"43981";"2014-1";"I2HB01";"6056"
"43982";"2014-1";"I2AB01";"6049"
"43982";"2014-1";"I2BB01";"6050"
"43982";"2014-1";"I2DB01";"6052"
"43982";"2014-1";"I2EB01";"6053"
"43982";"2014-1";"I2FB01";"6054"
"43982";"2014-1";"I2GB01";"6055"
